,num_clusters,num_samples,cluster_density,silhouette_score,calinski_harabasz,davies_bouldin,metrics_source,division_rand_score,division_mutual_info,division_nmi,subcategory_rand_score,subcategory_mutual_info,subcategory_nmi,avg_top_seller_concentration,avg_top3_seller_concentration,high_concentration_clusters,avg_price_cv,price_homogeneity,avg_price_range_ratio,avg_centroid_distance,min_centroid_distance,execution_time,noise_percent,min_cluster_size,max_cluster_size,mean_cluster_size,median_cluster_size,std_cluster_size,cluster_size_cv,small_clusters_pct,method_category,business_alignment,overall_score
transformer,299,14152,47.331103678929765,0.6262938976287842,18182.8671875,0.4502848960112012,original_embeddings,0.06872593981477598,0.4905590793835668,0.5206619329110019,0.3306306694694951,0.6428330255048595,0.7483802713035249,0.6447610937673076,0.82479729588397,119,0.7726336621246991,0.22736633787530092,3.81441299911135,689.1424625106492,2.2061758292919658,0.6019811630249023,,,,,,,,,transformer-based,14.815193357140227,9.181422488969092
kmeans,175,14152,80.86857142857143,0.3138604612294473,1058.4639222387618,1.027428070983387,original_embeddings,0.03075807062017967,0.2960196166272528,0.32416761982600495,0.08511160656961483,0.3878820863602479,0.5192856532328609,0.8065542266750683,0.855904841779495,133,0.33526512464592956,0.6647348753540705,1.259732252071064,956.7867447118092,7.28228283294866,0.5257258415222168,,,,,,,,,traditional,12.995993328636814,16.062937446414182
traditional_agglomerative,270,14152,52.41481481481482,0.34482496793127543,933.1892865956293,0.9208029357355603,original_embeddings,0.03101825276396378,0.33389942279815965,0.3706963173100895,0.11345283177906687,0.43343548219055206,0.5823906183115022,0.808576048645681,0.8838698333368349,200,0.3108110061253084,0.6891889938746916,1.1763472676362055,867.3223718153341,4.0123867521687835,0.6026899814605713,,,,,,,,,traditional,15.049207657773106,17.849222404026715
traditional_hdbscan,55,14152,257.3090909090909,0.5575743913650513,1457.08935546875,1.02379571873883,original_embeddings,0.034469044734979734,0.25588889266611375,0.26800794192005795,0.02893807556037334,0.3430609798319401,0.4131013068108238,0.7245062872380945,0.8370113118325125,31,0.5688366175933772,0.4311633824066228,2.7916866287908793,774.4492946782416,4.697367078393193,0.34822630882263184,13.178349349915205,,,,,,,,density-based,7.219174426425578,12.575963611447815
bertopic,313,37412,119.52715654952077,-0.48337797953283723,30.814352886335424,7.523027428532538,approximated_features,0.005565700801651529,0.3019453997391969,0.3241461495853068,0.005420407377142308,0.35237534819373245,0.4865553622376698,0.5353867764429513,0.7067572315842919,93,1.1866875276278817,-0.18668752762788166,7.784585178160028,480.59647714864724,2.219690393835393,2.0575790405273438,,20.0,13897.0,119.52715654952077,45.0,787.2410685815623,6.586294623811318,96.80511182108627,topic-based,2.940842308754847,5.617339707359237
transformer_kmeans,200,14152,70.76,0.4777244031429291,8874.4609375,0.6953260953834931,original_embeddings,0.05027399416340699,0.36373781494685614,0.39156420004274967,0.23479804258787465,0.5005321280884604,0.6284031964481758,0.4871762763994332,0.6627053418676612,53,1.1346040168873335,-0.13460401688733348,6.395942442105873,599.4777500801457,4.505587503316772,0.46127843856811523,,,,,,,,,transformer-based,6.718896864124336,6.887405143070819
transformer_agglomerative,290,14152,48.8,0.6175426840782166,17463.193359375,0.4508163822179646,original_embeddings,0.07091394827925962,0.490950042324781,0.5202652706806629,0.32423305199531005,0.6418951912877197,0.7457783706900138,0.6456662521430698,0.8242820587375157,118,0.7738263984546226,0.22617360154537736,3.859174102109353,693.3494296484635,2.2061758292919658,0.5374972820281982,,,,,,,,,transformer-based,14.744861992870547,9.158011777710307
