,num_clusters,num_samples,cluster_density,silhouette_score,calinski_harabasz,davies_bouldin,metrics_source,division_rand_score,division_mutual_info,division_nmi,subcategory_rand_score,subcategory_mutual_info,subcategory_nmi,avg_top_seller_concentration,avg_top3_seller_concentration,high_concentration_clusters,avg_price_cv,price_homogeneity,avg_price_range_ratio,avg_centroid_distance,min_centroid_distance,execution_time,noise_percent,min_cluster_size,max_cluster_size,mean_cluster_size,median_cluster_size,std_cluster_size,cluster_size_cv,small_clusters_pct,method_category,business_alignment
transformer,299,14152,47.331103678929765,0.6262938976287842,18182.8671875,0.4502848960112012,original_embeddings,0.06872593981477598,0.4905590793835668,0.5206619329110019,0.3306306694694951,0.6428330255048595,0.7483802713035249,0.6447610937673076,0.82479729588397,119,0.7726336621246991,0.22736633787530092,3.81441299911135,689.1424625106492,2.2061758292919658,0.6019811630249023,,,,,,,,,transformer-based,14.815193357140227
transformer_kmeans,200,14152,70.76,0.4777244031429291,8874.4609375,0.6953260953834931,original_embeddings,0.05027399416340699,0.36373781494685614,0.39156420004274967,0.23479804258787465,0.5005321280884604,0.6284031964481758,0.4871762763994332,0.6627053418676612,53,1.1346040168873335,-0.13460401688733348,6.395942442105873,599.4777500801457,4.505587503316772,0.46127843856811523,,,,,,,,,transformer-based,6.718896864124336
transformer_agglomerative,290,14152,48.8,0.6175426840782166,17463.193359375,0.4508163822179646,original_embeddings,0.07091394827925962,0.490950042324781,0.5202652706806629,0.32423305199531005,0.6418951912877197,0.7457783706900138,0.6456662521430698,0.8242820587375157,118,0.7738263984546226,0.22617360154537736,3.859174102109353,693.3494296484635,2.2061758292919658,0.5374972820281982,,,,,,,,,transformer-based,14.744861992870547
